unique_id,demographics,channel_preference,satisfaction_level,status,income_level,transaction_frequency,region
152,Sousse_Male,branch,0.6812765876970011,active,medium,5,Sousse
153,Tunis_Female,branch,0.5923670794480853,active,low,7,Sfax
154,Sfax_Male,mobile,0.6983452866510168,active,medium,1,Sfax
155,Djerba_Female,branch,0.5891047124341957,active,low,7,Sfax
156,Sousse_Male,mobile,0.5041483661376785,active,high,2,Sfax
157,Tunis_Female,mobile,0.5510852158057653,active,low,7,Tunis
158,Sousse_Male,web,0.6517888196757631,active,low,10,Sfax
159,Sousse_Female,web,0.5349244967394854,active,medium,6,Tunis
160,Sfax_Male,mobile,0.49867268941055753,active,high,7,Djerba
161,Tunis_Female,web,0.6207976033710403,active,medium,8,Sousse
162,Sousse_Male,branch,0.31457909369281195,active,low,4,Djerba
163,Sousse_Female,branch,0.5757441044483012,active,medium,2,Sfax
164,Tunis_Male,mobile,0.5600862621139493,active,medium,6,Sfax
165,Sfax_Female,web,0.6200326477536839,active,high,3,Sfax
166,Sousse_Male,web,0.39646665657873004,active,high,1,Tunis
167,Sousse_Female,mobile,0.4754509949693111,active,medium,5,Sousse
168,Sousse_Male,web,0.5186601889227207,active,medium,1,Sfax
169,Tunis_Female,web,0.6504505004117177,active,medium,1,Sfax
170,Tunis_Male,mobile,0.4943005433992713,active,low,7,Tunis
171,Tunis_Female,mobile,0.684921814587825,active,high,1,Sfax
172,Sousse_Male,web,0.3614181718324125,active,high,7,Sousse
173,Sousse_Female,mobile,0.5237800757041198,active,high,1,Djerba
174,Sousse_Male,mobile,0.5245867836933904,active,low,4,Sfax
175,Djerba_Female,mobile,0.47595608592450056,active,medium,10,Sousse
176,Tunis_Male,branch,0.591747763123464,active,high,5,Sousse
177,Sfax_Female,web,0.6452320784571943,active,low,10,Sfax
178,Sfax_Male,web,0.5112807599211187,active,medium,5,Sfax
179,Sousse_Female,web,0.5992172000320986,active,medium,10,Sousse
180,Tunis_Male,web,0.5107596585908571,active,high,5,Sfax
181,Tunis_Female,mobile,0.4998491763877666,active,high,7,Sfax
182,Tunis_Male,web,0.45057986231304303,active,low,2,Sfax
183,Sousse_Female,branch,0.39570215986093416,active,high,9,Djerba
184,Tunis_Male,web,0.4018252458960803,active,low,3,Djerba
185,Djerba_Female,branch,0.38733597223126004,active,medium,7,Sousse
186,Tunis_Male,mobile,0.3752532542664686,active,high,3,Sousse
187,Sousse_Female,mobile,0.46371039631573874,active,high,1,Sousse
188,Sousse_Male,web,0.6373097697442195,active,low,4,Tunis
189,Tunis_Female,mobile,0.41267053485129385,active,medium,7,Sfax
190,Sousse_Male,mobile,0.36784269910340117,active,high,2,Sfax
191,Sfax_Female,branch,0.41594321282852875,active,high,10,Tunis
192,Djerba_Male,mobile,0.55059554695241,active,medium,8,Sousse
193,Sfax_Female,branch,0.4280822382891923,active,low,5,Sousse
194,Djerba_Male,mobile,0.4077522054266605,active,low,3,Djerba
195,Tunis_Female,branch,0.4054297835199933,active,medium,9,Djerba
196,Djerba_Male,web,0.45739343116105696,active,medium,8,Sousse
197,Sousse_Female,branch,0.5372042676691914,active,high,7,Sfax
198,Djerba_Male,mobile,0.6240653091926109,active,medium,6,Sfax
199,Djerba_Female,mobile,0.3852305724139372,active,medium,2,Tunis
200,Sousse_Male,mobile,0.6293980303087399,active,low,3,Sousse
201,Djerba_Female,branch,0.33802959714100733,active,medium,8,Sfax
202,Djerba_Male,web,0.350154464349024,active,high,6,Djerba
203,Djerba_Female,branch,0.5325132719800824,active,medium,10,Djerba
204,Sfax_Male,mobile,0.4445245703575111,active,low,7,Tunis
205,Sousse_Female,branch,0.4891767729886459,active,low,9,Sfax
206,Tunis_Male,mobile,0.539842589065793,active,high,4,Djerba
207,Sousse_Female,mobile,0.45791925136392103,active,high,10,Sousse
208,Tunis_Male,branch,0.44452205100333325,active,low,10,Djerba
209,Tunis_Female,web,0.6443575914803664,active,low,5,Djerba
210,Tunis_Male,web,0.6554398634480844,active,medium,10,Sfax
211,Sousse_Female,branch,0.3479264613227293,active,high,10,Sousse
212,Tunis_Male,web,0.5203652675192761,active,high,6,Sfax
213,Djerba_Female,branch,0.5114542574154888,active,medium,1,Sfax
214,Tunis_Male,web,0.6682372079743305,active,low,7,Sfax
215,Djerba_Female,branch,0.49974964146815426,active,high,10,Sousse
216,Djerba_Male,mobile,0.534799949333675,active,high,4,Sousse
217,Sousse_Female,mobile,0.3867048669021258,active,medium,1,Tunis
218,Sfax_Male,branch,0.5312729007326913,active,medium,8,Sfax
219,Sousse_Female,branch,0.6454634242922314,active,low,1,Sousse
220,Djerba_Male,web,0.43291035307411246,active,low,5,Sousse
221,Tunis_Female,branch,0.33991758209702216,active,low,2,Sfax
222,Sousse_Male,branch,0.6979103069426057,active,low,9,Djerba
223,Sfax_Female,web,0.6309450079313599,active,high,9,Sousse
224,Sfax_Male,branch,0.37283573815894067,active,medium,5,Djerba
225,Djerba_Female,mobile,0.3441068374219156,active,high,7,Tunis
226,Sousse_Male,mobile,0.30704484236081037,active,medium,10,Tunis
227,Tunis_Female,branch,0.6605751809303666,active,medium,5,Djerba
228,Sousse_Male,web,0.628775523905737,active,high,6,Djerba
229,Sfax_Female,branch,0.4606683711096105,active,low,4,Tunis
230,Djerba_Male,branch,0.5803862599143889,active,low,8,Sfax
231,Sfax_Female,branch,0.6864359888399925,active,medium,8,Djerba
232,Sousse_Male,mobile,0.6874052682678796,active,low,1,Sousse
233,Sousse_Female,mobile,0.3249801794212818,active,high,5,Tunis
234,Sousse_Male,mobile,0.3981941864198855,active,high,4,Djerba
235,Djerba_Female,web,0.6034699556740135,active,medium,5,Sousse
236,Sousse_Male,mobile,0.5333178420940557,active,high,2,Sfax
237,Sfax_Female,web,0.5232220102666018,active,medium,4,Tunis
238,Djerba_Male,branch,0.6183939518812627,active,high,5,Sousse
239,Djerba_Female,branch,0.3979962316880701,active,medium,9,Djerba
240,Tunis_Male,web,0.405341384754233,active,high,7,Sousse
241,Djerba_Female,mobile,0.5368137340694182,active,high,5,Sfax
242,Sousse_Male,mobile,0.3177682139482428,active,low,2,Tunis
243,Tunis_Female,web,0.6342303337694489,active,high,6,Sfax
244,Sousse_Male,branch,0.440279287722707,active,low,4,Djerba
245,Sousse_Female,web,0.5146527329674047,active,high,1,Sfax
246,Djerba_Male,branch,0.6870553697120594,active,high,7,Djerba
247,Tunis_Female,branch,0.5978027045423526,active,low,1,Sfax
248,Djerba_Male,mobile,0.5100277616355374,active,medium,8,Tunis
249,Sousse_Female,branch,0.32513041402844245,active,low,5,Sfax
250,Djerba_Male,branch,0.35432856993747885,active,low,2,Sousse
251,Sousse_Female,web,0.4539562611249396,active,medium,10,Sousse
252,Sousse_Male,web,0.4994193061614064,active,high,5,Sfax
253,Sfax_Female,web,0.3731284230790671,active,high,5,Sfax
254,Sfax_Male,branch,0.5824727533429565,active,high,1,Tunis
255,Sfax_Female,mobile,0.528002573699585,active,low,4,Sousse
256,Tunis_Male,mobile,0.30686215051225785,active,high,4,Tunis
257,Tunis_Female,mobile,0.3866137634464746,active,medium,1,Sousse
258,Djerba_Male,branch,0.38315843664859556,active,medium,5,Sousse
259,Sfax_Female,branch,0.5515714584481964,active,low,9,Djerba
260,Tunis_Male,mobile,0.3874296808131633,active,high,3,Djerba
261,Sousse_Female,web,0.5508549255887045,active,high,4,Djerba
262,Djerba_Male,web,0.6342434498102975,active,low,5,Sousse
263,Djerba_Female,web,0.33759811132831685,active,high,3,Sfax
264,Sfax_Male,branch,0.6540844059600041,active,low,7,Sousse
265,Sfax_Female,web,0.48842282309214136,active,medium,4,Sfax
266,Sfax_Male,branch,0.43696543832101686,active,low,8,Djerba
267,Djerba_Female,branch,0.5477524957154483,active,medium,8,Djerba
268,Tunis_Male,web,0.4199161004109018,active,high,7,Djerba
269,Sousse_Female,mobile,0.44953128780141005,active,low,2,Sfax
270,Sfax_Male,mobile,0.37679092052651364,active,low,5,Djerba
271,Sfax_Female,branch,0.4316055927799902,active,high,7,Tunis
272,Djerba_Male,mobile,0.6578644753068699,active,medium,4,Tunis
273,Sfax_Female,mobile,0.5044072636188823,active,high,5,Tunis
274,Djerba_Male,mobile,0.3586023960560358,active,low,8,Sousse
275,Sfax_Female,web,0.4031282510997838,active,medium,6,Tunis
276,Sfax_Male,mobile,0.3597885179250381,active,medium,8,Djerba
277,Tunis_Female,branch,0.46690977223422914,active,high,2,Tunis
278,Sousse_Male,web,0.6879355541008543,active,medium,1,Djerba
279,Tunis_Female,mobile,0.3856658955315309,active,high,5,Djerba
280,Tunis_Male,branch,0.3788936791347944,active,low,8,Sousse
281,Djerba_Female,mobile,0.4418592696337273,active,medium,3,Tunis
282,Tunis_Male,web,0.4920602617378571,active,low,8,Sousse
283,Sfax_Female,mobile,0.5292037578919282,active,medium,1,Tunis
284,Djerba_Male,branch,0.5894405225835159,active,medium,9,Sfax
285,Djerba_Female,branch,0.5315943929826821,active,medium,8,Sfax
286,Tunis_Male,branch,0.49127632274841226,active,medium,5,Sfax
287,Sfax_Female,mobile,0.35251756460191563,active,high,8,Tunis
288,Sfax_Male,mobile,0.4630072251236927,active,medium,5,Sousse
289,Sfax_Female,mobile,0.44890192581072497,active,high,9,Sousse
290,Sousse_Male,web,0.5470844426097051,active,low,8,Djerba
291,Sousse_Female,web,0.3623024394971375,active,medium,1,Djerba
292,Sousse_Male,branch,0.6961233186284308,active,medium,1,Sfax
293,Tunis_Female,branch,0.3298024533926155,active,medium,2,Sfax
294,Djerba_Male,web,0.6081697258779679,active,medium,8,Djerba
295,Sfax_Female,mobile,0.5986204257548298,active,low,2,Sousse
296,Djerba_Male,mobile,0.3001990430198411,active,medium,2,Tunis
297,Djerba_Female,web,0.5531010321996213,active,high,4,Tunis
298,Djerba_Male,web,0.4528346103083898,active,medium,5,Tunis
299,Sfax_Female,web,0.6245959273667749,active,medium,8,Tunis
300,Sousse_Male,mobile,0.6679285793492502,active,medium,1,Tunis
301,Djerba_Female,branch,0.3789995932159166,active,medium,7,Sfax
302,Sousse_Male,web,0.4310716940485848,active,low,1,Djerba
303,Sousse_Female,web,0.5955681223504788,active,medium,3,Sfax
304,Tunis_Male,branch,0.699555312246442,active,low,7,Djerba
305,Tunis_Female,branch,0.5791712171890899,active,low,2,Sfax
306,Djerba_Male,web,0.5533802625009452,active,high,6,Sousse
307,Sfax_Female,web,0.6871607005647623,active,medium,5,Djerba
308,Sfax_Male,mobile,0.5358437509187318,active,low,1,Sfax
309,Sousse_Female,web,0.5474872781385519,active,medium,10,Djerba
310,Sfax_Male,web,0.679231458218985,active,low,3,Sousse
311,Tunis_Female,web,0.4115487776545985,active,high,6,Sfax
312,Tunis_Male,web,0.4831423666085906,active,low,8,Sousse
313,Djerba_Female,branch,0.3912543465613978,active,medium,8,Sousse
314,Djerba_Male,web,0.5358043395112406,active,medium,6,Tunis
315,Djerba_Female,mobile,0.5827817587539845,active,low,5,Sfax
316,Sfax_Male,branch,0.5404684470804404,active,high,10,Tunis
317,Tunis_Female,web,0.4407723773293262,active,high,10,Djerba
318,Tunis_Male,mobile,0.3111634938959862,active,high,10,Djerba
319,Sfax_Female,web,0.45434618018375295,active,low,5,Sfax
320,Sousse_Male,mobile,0.5441333378633407,active,low,10,Sfax
321,Tunis_Female,branch,0.3203945063265895,active,low,3,Djerba
322,Sfax_Male,web,0.6596347292138759,active,high,8,Sousse
323,Sfax_Female,mobile,0.35034258484028113,active,medium,9,Sfax
324,Sfax_Male,web,0.5767555724362787,active,low,9,Tunis
325,Djerba_Female,web,0.4403410935399604,active,high,2,Sousse
326,Tunis_Male,mobile,0.439061292102119,active,high,10,Sfax
327,Sousse_Female,branch,0.5140351328507513,active,low,10,Sousse
328,Djerba_Male,mobile,0.3451229585147112,active,low,1,Sousse
329,Sfax_Female,branch,0.6233344020592344,active,low,5,Djerba
330,Djerba_Male,branch,0.5488469568121187,active,low,9,Tunis
331,Tunis_Female,mobile,0.3003086269674621,active,high,8,Tunis
332,Tunis_Male,web,0.4206245262186189,active,medium,8,Djerba
333,Sousse_Female,mobile,0.5254126623958557,active,medium,3,Tunis
334,Tunis_Male,web,0.4879941515400435,active,medium,5,Djerba
335,Sfax_Female,web,0.5848634999656257,active,low,1,Sfax
336,Sousse_Male,mobile,0.6337823925161279,active,medium,4,Sfax
337,Tunis_Female,web,0.3008910805807859,active,high,6,Djerba
338,Sousse_Male,web,0.32865813032573993,active,medium,2,Sfax
339,Tunis_Female,web,0.4968036416949506,active,low,7,Sousse
340,Sfax_Male,web,0.6671922201691094,active,medium,4,Djerba
341,Djerba_Female,mobile,0.6325336427498682,active,low,5,Tunis
342,Sfax_Male,mobile,0.5331346572181068,active,medium,1,Djerba
343,Djerba_Female,branch,0.4384191814880155,active,high,10,Tunis
344,Sousse_Male,branch,0.4447741741416635,active,low,4,Sfax
345,Tunis_Female,branch,0.44400124465030294,active,low,2,Sfax
346,Sousse_Male,branch,0.6758728571111161,active,high,7,Tunis
347,Tunis_Female,branch,0.454128938866232,active,low,9,Sousse
348,Djerba_Male,web,0.4390939836274865,active,high,9,Djerba
349,Sousse_Female,mobile,0.3616627652216353,active,low,8,Sousse
350,Sfax_Male,branch,0.6114194574894714,active,low,3,Djerba
351,Sfax_Female,branch,0.4180537206545589,active,low,7,Sfax
352,Sousse_Male,web,0.6649176137372694,active,high,3,Sousse
353,Tunis_Female,branch,0.35197227299788403,active,low,7,Djerba
354,Tunis_Male,branch,0.5533862252263868,active,low,3,Sfax
355,Sfax_Female,mobile,0.5330605340327847,active,medium,8,Djerba
356,Sousse_Male,mobile,0.3046425521518583,active,medium,6,Djerba
357,Sousse_Female,mobile,0.42982260520556936,active,medium,10,Sousse
358,Djerba_Male,web,0.5412150171038745,active,medium,5,Tunis
359,Djerba_Female,mobile,0.6701165243499864,active,high,3,Sousse
360,Sousse_Male,branch,0.5496729786493063,active,medium,7,Sousse
361,Sfax_Female,branch,0.43449377354434066,active,high,5,Djerba
362,Djerba_Male,web,0.48181274956265674,active,medium,10,Sousse
363,Tunis_Female,mobile,0.6479640249758564,active,low,4,Tunis
364,Djerba_Male,branch,0.4029710723789523,active,high,7,Sousse
365,Tunis_Female,mobile,0.31758786478561746,active,low,1,Sousse
366,Sousse_Male,branch,0.639155674760933,active,high,3,Sousse
367,Sousse_Female,mobile,0.6450229355778132,active,medium,9,Djerba
368,Sfax_Male,mobile,0.4320216086279891,active,medium,8,Sfax
369,Tunis_Female,mobile,0.6005953102066024,active,low,5,Sfax
370,Tunis_Male,mobile,0.45665479467782955,active,medium,7,Tunis
371,Sousse_Female,web,0.5559509694285663,active,low,8,Tunis
372,Tunis_Male,web,0.3983403840771819,active,low,9,Sfax
373,Djerba_Female,mobile,0.3822977402426992,active,high,4,Sfax
374,Sousse_Male,branch,0.4884133700656884,active,high,2,Sousse
375,Sousse_Female,branch,0.41887864046373396,active,high,6,Sousse
376,Tunis_Male,web,0.6055855166675455,active,medium,2,Sousse
377,Sousse_Female,mobile,0.4570366543463332,active,medium,10,Sousse
378,Sfax_Male,mobile,0.4178936170789521,active,medium,1,Sfax
379,Tunis_Female,web,0.4154936285576534,active,low,4,Sfax
380,Tunis_Male,web,0.6124705861490828,active,low,10,Sfax
381,Sfax_Female,mobile,0.681744285565429,active,high,6,Sfax
382,Sousse_Male,branch,0.6764073905585768,active,low,8,Djerba
383,Djerba_Female,web,0.47710522699678914,active,high,5,Sousse
384,Sfax_Male,branch,0.6839338803334848,active,medium,7,Sfax
385,Tunis_Female,mobile,0.3541299608938252,active,medium,1,Djerba
386,Sfax_Male,web,0.6307953762786288,active,high,9,Sfax
387,Djerba_Female,mobile,0.4885464451819418,active,high,7,Sfax
388,Sousse_Male,web,0.5101172117354346,active,low,1,Sousse
389,Sousse_Female,mobile,0.4292920815763595,active,high,1,Tunis
390,Sousse_Male,web,0.5853765035791094,active,low,10,Sfax
391,Sousse_Female,web,0.31255869651305107,active,high,10,Sfax
392,Sfax_Male,web,0.4655704783098735,active,medium,2,Sfax
393,Sfax_Female,web,0.39080706570638674,active,high,2,Tunis
394,Djerba_Male,web,0.43290127871986817,active,medium,8,Tunis
395,Djerba_Female,mobile,0.3646418260160687,active,high,7,Sfax
396,Sfax_Male,mobile,0.3949540978149201,active,medium,2,Sousse
397,Tunis_Female,web,0.38526640361860975,active,high,8,Sousse
398,Tunis_Male,branch,0.687775388925474,active,medium,5,Djerba
399,Sousse_Female,mobile,0.3904239006761694,active,medium,6,Sousse
400,Tunis_Male,mobile,0.4583625097874791,active,low,9,Tunis
401,Djerba_Female,branch,0.5130011296814507,active,high,7,Tunis
402,Djerba_Male,mobile,0.45905385687355754,active,low,7,Tunis
403,Tunis_Female,branch,0.6224174175926702,active,medium,4,Djerba
404,Tunis_Male,web,0.6404230650804754,active,low,1,Sfax
405,Sfax_Female,web,0.5098942648216734,active,high,5,Tunis
406,Sfax_Male,web,0.6638201273864551,active,high,8,Djerba
407,Djerba_Female,web,0.4106083223784328,active,low,1,Djerba
408,Sfax_Male,branch,0.5916629537813554,active,medium,8,Sousse
409,Djerba_Female,web,0.522866480898122,active,low,4,Djerba
410,Sfax_Male,mobile,0.3839908173550391,active,medium,3,Tunis
411,Sousse_Female,mobile,0.4029519608160872,active,low,5,Sousse
412,Djerba_Male,web,0.4650978635751713,active,medium,1,Tunis
413,Sousse_Female,web,0.4669348786065731,active,high,7,Djerba
414,Sousse_Male,web,0.35903986857344355,active,low,8,Djerba
415,Sfax_Female,web,0.5928732494929464,active,high,3,Tunis
416,Tunis_Male,web,0.4961122780912425,active,low,4,Djerba
417,Djerba_Female,branch,0.477125024074991,active,high,1,Sfax
418,Tunis_Male,branch,0.40841963108253115,active,medium,5,Tunis
